Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664132205.5828419,1,1664146606,0,,42.3392945,-71.0855525,6.5,328196.48817678704,4689555.275540505,19,T
1664132206.5849748,2,1664146607,0,,42.339292666666665,-71.08554833333334,6.9,328196.8264393863,4689555.063543812,19,T
1664132207.5835452,3,1664146608,0,,42.33928616666667,-71.085543,6.8,328197.24810391164,4689554.3309920095,19,T
1664132208.5863373,4,1664146609,0,,42.33927833333333,-71.08553866666666,6.8,328197.5837558047,4689553.452404253,19,T
1664132209.5849864,5,1664146610,0,,42.339273666666664,-71.08553216666667,7.1,328198.1065252172,4689552.9210729245,19,T
1664132210.5862248,6,1664146611,0,,42.339269333333334,-71.0855245,7.6,328198.72631417494,4689552.4243984865,19,T
1664132211.5809455,7,1664146612,0,,42.3392625,-71.08551683333333,7.9,328199.33929454506,4689551.650118128,19,T
1664132212.583308,8,1664146613,0,,42.3392575,-71.08550916666667,8.3,328199.95726806263,4689551.079415546,19,T
1664132213.5838997,9,1664146614,0,,42.33925133333334,-71.0855025,8.4,328200.4896828948,4689550.38118407,19,T
1664132214.5878782,10,1664146615,0,,42.339246,-71.0854945,8.7,328201.13420928566,4689549.772793965,19,T
1664132215.583018,11,1664146616,0,,42.339242,-71.08548766666667,8.9,328201.68625535193,4689549.314817684,19,T
1664132216.5862656,12,1664146617,0,,42.339238,-71.0854805,9.0,328202.265761971,4689548.856167954,19,T
1664132217.5829208,13,1664146618,0,,42.339234833333336,-71.0854735,9.2,328202.83380793565,4689548.490390346,19,T
1664132218.5820472,14,1664146619,0,,42.339229833333334,-71.085467,9.2,328203.35567032435,4689547.922045308,19,T
1664132219.5824127,15,1664146620,0,,42.3392245,-71.08546016666666,9.1,328203.904085485,4689547.316012692,19,T
1664132220.5848527,16,1664146621,0,,42.33921933333333,-71.085453,9.0,328204.4804151308,4689546.7278137,19,T
1664132221.5831168,17,1664146622,0,,42.33921483333334,-71.08544583333334,9.0,328205.0585604588,4689546.21364302,19,T
1664132222.5829592,18,1664146623,0,,42.339209833333335,-71.08543866666666,9.0,328205.63534419064,4689545.643951195,19,T
1664132223.5833426,19,1664146624,0,,42.339205166666666,-71.0854315,9.0,328206.21303580084,4689545.111273552,19,T
1664132224.5864182,20,1664146625,0,,42.3392015,-71.08542483333333,9.0,328206.7522601,4689544.690648562,19,T
1664132225.5852776,21,1664146626,0,,42.33919933333333,-71.08541816666667,8.8,328207.29556947266,4689544.436587201,19,T
1664132226.585285,22,1664146627,0,,42.3391955,-71.08541116666666,8.7,328207.8618005001,4689543.996781762,19,T
1664132227.585602,23,1664146628,0,,42.33919016666667,-71.0854035,8.6,328208.4788676222,4689543.389065847,19,T
1664132228.5849705,24,1664146629,0,,42.33918466666667,-71.08539566666667,8.5,328209.1092112195,4689542.762506193,19,T
1664132229.5813787,25,1664146630,0,,42.339180666666664,-71.08538866666666,8.5,328209.67498861265,4689542.304193842,19,T
1664132230.5841231,26,1664146631,0,,42.33917666666667,-71.08538066666667,8.4,328210.3231476017,4689541.843861153,19,T
1664132231.584015,27,1664146632,0,,42.3391715,-71.0853725,8.4,328210.9818597735,4689541.253642344,19,T
1664132232.5862892,28,1664146633,0,,42.33916683333333,-71.08536383333333,8.5,328211.6831244576,4689540.717934608,19,T
1664132233.584732,29,1664146634,0,,42.3391615,-71.0853545,8.4,328212.43749477476,4689540.106851779,19,T
1664132234.5857062,30,1664146635,0,,42.339155833333336,-71.085346,8.5,328213.1223061851,4689539.460438534,19,T
1664132235.5844269,31,1664146636,0,,42.339150833333335,-71.08533866666667,8.6,328213.7128213913,4689538.890410691,19,T
1664132236.5879388,32,1664146637,0,,42.3391445,-71.08533083333333,8.6,328214.34089651227,4689538.171316211,19,T
1664132237.5823371,33,1664146638,0,,42.339136833333335,-71.08532216666667,8.7,328215.03399213136,4689537.302481669,19,T
1664132238.5840971,34,1664146639,0,,42.3391285,-71.08531316666667,8.8,328215.75273298705,4689536.358945503,19,T
1664132239.5831583,35,1664146640,0,,42.339122833333334,-71.08530416666666,8.8,328216.4787358743,4689535.711522449,19,T
1664132240.5843735,36,1664146641,0,,42.339116,-71.08529516666667,8.9,328217.20156185736,4689534.934550023,19,T
1664132241.5834298,37,1664146642,0,,42.33910916666667,-71.08528666666666,9.1,328217.88319720054,4689534.158587825,19,T
