Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1663954948.8619099,21,1663969350,0,,42.338768333333334,-71.08543333333333,21.4,328204.87235386815,4689496.607962254,19,T
1663954949.8407238,22,1663969351,0,,42.338768333333334,-71.08543333333333,21.3,328204.87235386815,4689496.607962254,19,T
1663954950.8409643,23,1663969352,0,,42.338768333333334,-71.085435,21.2,328204.7350504374,4689496.61132965,19,T
1663954951.8409436,24,1663969353,0,,42.338768333333334,-71.085435,21.0,328204.7350504374,4689496.61132965,19,T
1663954952.8436494,25,1663969354,0,,42.338768333333334,-71.08543666666667,20.9,328204.59774700867,4689496.6146970475,19,T
1663954953.841518,26,1663969355,0,,42.338768333333334,-71.08543666666667,20.8,328204.59774700867,4689496.6146970475,19,T
1663954954.8453557,27,1663969356,0,,42.338768333333334,-71.08543833333333,20.7,328204.46044357994,4689496.618064448,19,T
1663954955.842748,28,1663969357,0,,42.338768333333334,-71.08543833333333,20.6,328204.46044357994,4689496.618064448,19,T
1663954956.8434963,29,1663969358,0,,42.33877,-71.08544,20.5,328204.3276790581,4689496.8065024875,19,T
1663954957.8439074,30,1663969359,0,,42.33877,-71.08544,20.4,328204.3276790581,4689496.8065024875,19,T
1663954958.8433127,31,1663969360,0,,42.33877,-71.08544,20.3,328204.3276790581,4689496.8065024875,19,T
1663954959.8425086,32,1663969361,0,,42.33877,-71.08544166666667,20.2,328204.19037563086,4689496.809869894,19,T
1663954960.845904,33,1663969362,0,,42.33877,-71.08544166666667,20.1,328204.19037563086,4689496.809869894,19,T
1663954961.8445845,34,1663969363,0,,42.33877,-71.08544166666667,20.0,328204.19037563086,4689496.809869894,19,T
1663954962.8442683,35,1663969364,0,,42.33877,-71.08544333333333,19.9,328204.05307220784,4689496.813237303,19,T
1663954963.8440242,36,1663969365,0,,42.33877,-71.08544333333333,19.9,328204.05307220784,4689496.813237303,19,T
1663954964.8434017,37,1663969366,0,,42.33877,-71.08544333333333,19.8,328204.05307220784,4689496.813237303,19,T
1663954965.8604856,38,1663969367,0,,42.33877,-71.08544499999999,19.7,328203.91576878063,4689496.816604715,19,T
1663954966.8456483,39,1663969368,0,,42.33877,-71.08544499999999,19.6,328203.91576878063,4689496.816604715,19,T
1663954967.860353,40,1663969369,0,,42.33877,-71.08544499999999,19.6,328203.91576878063,4689496.816604715,19,T
1663954968.8606496,41,1663969370,0,,42.33877,-71.08544499999999,19.5,328203.91576878063,4689496.816604715,19,T
1663954969.845224,42,1663969371,0,,42.33877,-71.08544666666667,19.4,328203.7784653534,4689496.819972129,19,T
