Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1666474469.6381533,411,77670,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474470.6384344,412,77671,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474471.6388686,413,77672,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474472.638221,414,77673,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474473.6370256,415,77674,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474474.6415386,416,77675,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474475.6423476,417,77676,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474476.6526692,418,77677,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474477.643782,419,77678,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474478.648582,420,77679,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474479.6499124,421,77680,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474480.6520624,422,77681,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.300000190734863,327864.65625,4689327.0,19,T
1666474481.6519597,423,77682,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.199999809265137,327864.9375,4689327.0,19,T
1666474482.6520975,424,77683,0,GPS1_Frame,42.33716583251953,-71.08950805664062,13.100000381469727,327864.9375,4689327.0,19,T
1666474483.6459825,425,77684,0,GPS1_Frame,42.33717346191406,-71.08950805664062,13.100000381469727,327864.53125,4689328.0,19,T
1666474484.6457663,426,77685,0,GPS1_Frame,42.337188720703125,-71.08952331542969,12.899999618530273,327863.625,4689329.5,19,T
1666474485.6523364,427,77686,0,GPS1_Frame,42.33721160888672,-71.08953857421875,12.699999809265137,327862.15625,4689332.0,19,T
1666474486.6518447,428,77687,0,GPS1_Frame,42.337242126464844,-71.08956146240234,12.600000381469727,327860.46875,4689335.5,19,T
1666474487.652622,429,77688,0,GPS1_Frame,42.33728790283203,-71.08958435058594,12.5,327858.65625,4689340.5,19,T
1666474488.6472685,430,77689,0,GPS1_Frame,42.33734130859375,-71.08961486816406,12.399999618530273,327856.75,4689346.5,19,T
1666474489.6461406,431,77690,0,GPS1_Frame,42.33740234375,-71.08963775634766,12.300000190734863,327855.0,4689353.5,19,T
1666474490.645001,432,77691,0,GPS1_Frame,42.33746337890625,-71.08966064453125,12.199999809265137,327853.125,4689360.0,19,T
1666474491.6462133,433,77692,0,GPS1_Frame,42.337528228759766,-71.08968353271484,12.0,327851.375,4689367.5,19,T
1666474492.6466317,434,77693,0,GPS1_Frame,42.337589263916016,-71.08970642089844,11.800000190734863,327849.59375,4689374.0,19,T
1666474493.6451316,435,77694,0,GPS1_Frame,42.337646484375,-71.08972930908203,11.899999618530273,327847.71875,4689381.0,19,T
1666474494.6450129,436,77695,0,GPS1_Frame,42.33770751953125,-71.08975219726562,12.0,327845.9375,4689387.5,19,T
1666474495.647903,437,77696,0,GPS1_Frame,42.33776092529297,-71.08977508544922,12.300000190734863,327844.1875,4689393.5,19,T
1666474496.6477668,438,77697,0,GPS1_Frame,42.33781814575195,-71.08979797363281,12.699999809265137,327842.6875,4689400.0,19,T
1666474497.6476552,439,77698,0,GPS1_Frame,42.33787155151367,-71.08981323242188,13.0,327841.875,4689406.0,19,T
1666474498.6468182,440,77699,0,GPS1_Frame,42.337928771972656,-71.0898208618164,13.5,327841.34375,4689412.5,19,T
1666474499.6463473,441,77700,0,GPS1_Frame,42.33798599243164,-71.08982849121094,14.100000381469727,327840.8125,4689418.5,19,T
1666474500.6476433,442,77701,0,GPS1_Frame,42.33803939819336,-71.08983612060547,14.5,327840.125,4689424.5,19,T
1666474501.64592,443,77702,0,GPS1_Frame,42.33809280395508,-71.08984375,15.399999618530273,327839.4375,4689430.5,19,T
1666474502.6462023,444,77703,0,GPS1_Frame,42.33814239501953,-71.08985137939453,16.100000381469727,327838.90625,4689436.0,19,T
1666474503.6463137,445,77704,0,GPS1_Frame,42.338191986083984,-71.0898666381836,17.100000381469727,327837.9375,4689441.5,19,T
1666474504.6376464,446,77705,0,GPS1_Frame,42.33824157714844,-71.08988189697266,18.100000381469727,327836.6875,4689447.5,19,T
1666474505.637743,447,77706,0,GPS1_Frame,42.338294982910156,-71.08990478515625,18.700000762939453,327835.34375,4689453.0,19,T
1666474506.6378634,448,77707,0,GPS1_Frame,42.33834457397461,-71.08992004394531,19.5,327833.8125,4689458.5,19,T
1666474507.6387498,449,77708,0,GPS1_Frame,42.33839416503906,-71.08995056152344,18.799999237060547,327831.46875,4689464.0,19,T
1666474508.6386714,450,77709,0,GPS1_Frame,42.33843231201172,-71.0899887084961,18.399999618530273,327828.96875,4689468.5,19,T
1666474509.6382077,451,77710,0,GPS1_Frame,42.33845520019531,-71.09001922607422,18.299999237060547,327826.03125,4689471.0,19,T
