Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1663955332.8528292,1,1663969734,0,,42.33897666666667,-71.08518333333333,13.8,328226.0351629837,4689519.2367130425,19,T
1663955333.8721106,2,1663969735,0,,42.33898333333333,-71.085175,13.7,328226.7398312513,4689519.960160673,19,T
1663955334.8517811,3,1663969736,0,,42.33898333333333,-71.08517166666667,13.8,328227.01443716756,4689519.9534267215,19,T
1663955335.8515773,4,1663969737,0,,42.33898333333333,-71.08517,13.7,328227.15174012777,4689519.950059749,19,T
1663955336.8515697,5,1663969738,0,,42.33897666666667,-71.08517333333333,13.6,328226.8589808261,4689519.216511138,19,T
1663955337.871097,6,1663969739,0,,42.338975,-71.08517166666667,13.6,328226.99174545426,4689519.028073524,19,T
1663955338.848272,7,1663969740,0,,42.33897,-71.08517666666667,13.5,328226.5662214644,4689518.4829625385,19,T
1663955339.8453739,8,1663969741,0,,42.338965,-71.08518666666667,13.5,328225.7287884139,4689517.947952557,19,T
1663955340.8714213,9,1663969742,0,,42.33895833333333,-71.08519333333334,13.4,328225.1614228636,4689517.221138012,19,T
1663955341.8471603,10,1663969743,0,,42.338953333333336,-71.0852,13.4,328224.5985956013,4689516.679394149,19,T
1663955342.846801,11,1663969744,0,,42.338948333333335,-71.08520666666666,13.3,328224.03576825495,4689516.137650328,19,T
1663955343.844987,12,1663969745,0,,42.338945,-71.08520833333333,13.3,328223.8893883809,4689515.770876081,19,T
1663955344.845981,13,1663969746,0,,42.33894166666666,-71.08521333333333,13.3,328223.4684023924,4689515.410835911,19,T
1663955345.8643694,14,1663969747,0,,42.33893666666667,-71.08521833333333,13.2,328223.0428779201,4689514.865725128,19,T
1663955346.8465588,15,1663969748,0,,42.338935,-71.08522333333333,13.3,328222.626430284,4689514.690755647,19,T
1663955347.8473365,16,1663969749,0,,42.33893,-71.08523,13.4,328222.06360262947,4689514.149011977,19,T
1663955348.8470578,17,1663969750,0,,42.338925,-71.085235,13.4,328221.6380779746,4689513.6039012745,19,T
1663955349.8473332,18,1663969751,0,,42.338921666666664,-71.08524166666666,13.5,328221.0797886469,4689513.247228318,19,T
1663955350.845453,19,1663969752,0,,42.33891666666667,-71.08525,13.5,328220.3796576511,4689512.7088518655,19,T
1663955351.8458624,20,1663969753,0,,42.33891166666667,-71.085265,13.5,328219.1303140874,4689512.183943952,19,T
1663955352.8489017,21,1663969754,0,,42.338908333333336,-71.08527333333333,13.5,328218.4347213918,4689511.830638327,19,T
1663955353.8462977,22,1663969755,0,,42.338903333333334,-71.085285,13.6,328217.45998377935,4689511.298996434,19,T
1663955354.8473985,23,1663969756,0,,42.3389,-71.08529166666666,13.5,328216.90169404924,4689510.942323802,19,T
1663955355.84781,24,1663969757,0,,42.33889666666666,-71.0853,13.4,328216.2061011092,4689510.5890183905,19,T
1663955356.8507392,25,1663969758,0,,42.338895,-71.08530166666667,13.5,328216.0642593426,4689510.407314932,19,T
1663955357.8516507,26,1663969759,0,,42.33888833333334,-71.08531333333333,13.6,328215.0849827001,4689509.690602722,19,T
1663955358.849969,27,1663969760,0,,42.33888666666667,-71.08532,13.8,328214.5312313751,4689509.519000911,19,T
1663955359.856453,28,1663969761,0,,42.338881666666666,-71.08533,13.8,328213.69379631116,4689508.983992316,19,T
1663955360.8503704,29,1663969762,0,,42.33888,-71.08534,13.9,328212.86543851846,4689508.819125095,19,T
1663955361.8541286,30,1663969763,0,,42.338876666666664,-71.08534666666667,14.0,328212.3071483476,4689508.462452817,19,T
1663955362.8528206,31,1663969764,0,,42.33887166666667,-71.08536333333333,14.3,328210.920500166,4689507.940913587,19,T
1663955363.8574054,32,1663969765,0,,42.33886833333333,-71.08537333333334,14.3,328210.0876033968,4689507.59097605,19,T
1663955364.852513,33,1663969766,0,,42.338861666666666,-71.08538666666666,14.4,328208.97102250333,4689506.877631966,19,T
1663955365.8543198,34,1663969767,0,,42.338858333333334,-71.08539833333333,14.5,328208.00082227204,4689506.53106199,19,T
